station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
Mt Horne (WTP),GEV,95.83615948870377,16.917867797629896,148.47931253589834,24.914244009056166,191.553944697436,36.97511748159369,259.3088388212254,68.83920148323541,322.7592001335692,112.18029645555116,366.4510596052803,148.82258214012256,401.0564038866364,181.4710765517907
Mt Horne (WTP),GPD,125.66044312069823,14.51756596963732,168.44962679724657,27.273437399026843,207.61593566697263,42.36393624120995,270.73459666209783,72.78117076962829,329.152100149381,106.98422179327548,368.48902872690707,133.0349674235121,399.0458658088916,154.86045654901434
Mt Reuil (WTP),GEV,111.8310273751101,8.203001046976635,140.35471681464455,14.191935841698413,164.7564536878332,22.38180102108409,204.834208096631,42.81848525275238,243.98032617827076,70.56479634476935,271.7157056991151,94.2958246140936,294.0833978564705,115.64341566847114
Mt Reuil (WTP),GPD,126.16063134755902,12.83636988910407,164.15304249456418,24.690949840746153,197.01193883817734,38.814163310502494,247.20442249680153,67.13187074962798,291.4433671166292,98.80662454996614,320.3280758459001,122.9202372060382,342.35504408812983,143.16145107174
Mt.Plaisir (WTP),GEV,104.82247688417569,12.805789308674772,145.10702370670947,16.85578711405468,173.79475162203292,23.85813830818668,213.475506785195,41.34267859135974,246.28187928607483,62.61065793263244,267.0431967069821,79.1752952581829,282.62747339378416,93.18202140899632
Mt.Plaisir (WTP),GPD,122.5487713707649,11.576966872357813,157.02213956545444,20.360230927447592,187.35520806286368,29.965998639848014,234.19666384502273,47.851718232032496,275.6664124042672,66.45656757994458,302.7189132638343,79.87128627295104,323.29984370473255,90.71128895796562
Munich (WTP),GEV,102.88089856748051,10.781983763076704,126.11854467033498,14.577770069910011,145.15164868581581,22.31850014898186,175.31666712064037,41.60060196691156,203.92849224247263,67.14550531818446,223.86612111545557,88.88684196820878,239.8003836290698,108.49179671233216
Munich (WTP),GPD,104.97998161122666,13.816274036831555,132.95332676733645,24.61826387677188,156.40730390726011,36.63056412092395,191.1553009932935,59.31060411721278,220.89101458237886,83.28473665864952,239.92622830189794,100.81637211002571,254.26286357730143,115.13679668269258
Peggy's Whim (WTP),GEV,117.10986779010665,18.738894907112936,181.65298101921226,30.300880794597024,239.6676003864299,45.91187649072149,339.55138945416974,89.15485421180038,441.6296498250111,153.2047040683656,516.1942605479992,210.58398383018752,577.5074957648642,263.5852164280328
Peggy's Whim (WTP),GPD,141.06871067434784,15.328838143208984,194.19763859032864,29.151264523066516,244.87972214043393,45.649087632781985,329.9025666525323,79.22015327318061,411.5922120884209,117.22882485711129,467.94903198046745,146.2491154466841,512.3813580169008,170.57088777989242
Petit Etang (WTP),GEV,97.26902087933563,9.758708192432529,131.31403193601275,13.892181979560139,155.93206983640025,20.65960479996087,190.36079655455885,36.57319620395732,219.0661918680201,55.51823005993583,237.313662990694,70.17842404114025,251.0426684351911,82.53120492380059
Petit Etang (WTP),GPD,127.88619424730788,12.076681597897961,164.21159659494282,23.16347951436161,195.65052485704396,36.1955972305793,243.66320263804678,61.75569921669957,285.926575571451,89.48942689673048,313.4758308739984,110.03339477675604,334.4538327280504,126.9208724813877
Plaisance (WTP),GEV,98.16483332297257,12.295359752968062,123.32421171277616,16.022010776821265,143.96347955281013,24.421536718589817,176.74094865308237,45.586775439234714,207.90488966107853,73.47764493786222,229.6607823477117,97.12172096475938,247.0703020157102,118.41030610077325
Plaisance (WTP),GPD,109.33103817999032,14.848722728907635,140.78561103084007,27.389722509405367,167.9675983258931,41.80145631716946,209.52351134425297,70.0039363797285,246.23306252267682,100.97227660363819,270.2571935092739,124.27078637479833,288.61017182466514,143.67447139607916
Point Saline (MBIA),GEV,71.74954191180291,3.7476327055550454,97.52727908678128,6.805818905966467,118.0410380748368,10.964643752704488,148.97002007536707,20.477129300689406,176.39372635664998,31.945064783233473,194.44768586792517,40.92184848118663,208.2961797926921,48.531323039942485
Point Saline (MBIA),GPD,78.75730355352009,3.876749278949486,101.01038249929853,7.223390427380165,119.9933963180037,11.103433385257809,148.38465716635935,18.503680707611927,172.7250593006135,26.238669010322912,188.25435500363827,31.79548022008142,199.9016569872281,36.26549975179779
Pomme Rose (WTP),GEV,87.96218611693344,5.847491126866066,109.80744146952904,10.26405868705126,127.24828925629214,16.585237089296143,154.20940719836364,31.905690866492048,179.1481158979643,51.9597296540131,196.22113818094203,68.81976016422239,209.7083511022101,83.89111188305215
Pomme Rose (WTP),GPD,109.74931194559892,10.630964622343548,135.9311134730703,18.915793816869776,157.43051492375758,27.791332713072126,188.49802690586355,43.83734090563026,214.33905219555632,60.04765510050138,230.52685398658448,71.52068163278561,242.54058757194747,80.69146247343195
Radix (WTP),GEV,90.19877968150668,12.963894574437276,121.07092578057431,18.926555297229346,147.5623833144818,28.48827233752083,191.3217382864304,52.11927500920879,234.41047783633715,84.21116891569764,265.15671203146246,111.97164003178547,290.0846060679159,137.23165171887413
Radix (WTP),GPD,105.85981172073079,16.46096724883455,143.15641184392643,32.54444964412617,178.73530688939042,52.729945004078445,238.96314226737485,96.26626784612233,297.8302405348848,148.83219938928502,339.12345319938026,191.0174731039754,372.0994739910407,227.63115178772867
Spring Garden (WTP),GEV,106.74270751390895,14.042552876667562,142.96665577886063,18.414910339606283,170.59604800360924,26.32373193412895,211.4399778812198,46.601699492561956,247.55771498569274,72.7334324264266,271.5186101642764,94.09065335333942,290.0645378878702,112.75659373466188
Spring Garden (WTP),GPD,124.25552476587596,10.854834403401991,151.86740648508768,17.70125872658824,174.20420854634568,24.6913477868454,205.89281804949024,36.77208915050183,231.69238938476136,48.44086869471318,247.58989625782127,56.437218631205454,259.2558053325268,62.692502073877144
Tufton Hall (WTP),GEV,121.41523618545916,9.578443063411898,159.1723226145758,17.70583719893099,193.40945245004096,29.084351658655113,252.5775596396873,59.73592520296905,313.1254592305938,105.57451417635207,357.3669445273532,147.85731176229936,393.7537455572674,187.96898366725975
Tufton Hall (WTP),GPD,153.5934574096883,12.223544727551467,189.9810044559702,20.165654632192688,219.8949425535389,28.277351473374317,262.9845453616434,42.31496553657704,298.567939608776,55.891017133122055,320.6948102417827,65.19876222412375,337.0216498752614,72.48003916964953
Vendome (WTP),GEV,111.88275384272563,11.90086791794573,155.49529722176393,17.926727353257977,190.38211779345247,26.79091978946246,243.82127675953666,48.91802365721499,292.37988058221725,77.65097643954729,325.05697331677794,101.24107014647193,350.5336991391564,121.86821856535688
Vendome (WTP),GPD,137.06628755181822,10.541312861543227,169.73274393387894,17.166377074349597,196.99151764936147,23.93569329912156,236.8322623606671,35.70148866641341,270.19560755283084,47.14738705939282,291.13463803455096,55.03005915671997,306.6737553535782,61.214963833814984
