z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-20.850610167203236,-21.019658174540677,-20.919668322527276,-22.55000747177605,-32.535655594246066,-20.87483202212704,-22.413247370524335,-47.968036317083,-52.597705007233884,-21.427055815018154,-20.878027047713708,-21.07051162183574,-20.946851902791064,-21.2558437741678,-35.31541653473657,-20.971212892701296,-20.923344135238107,-20.857614784938004,-21.967768429082067,-23.486371488193008,-27.263385383412295,-49.52593884080535,-224.02312420578536,-98.14072408775456,-22.309039893961234,-27.88914903555571,-23.231682120819933,-21.94767278743128,-20.94401302735211,-20.906393982294084
-20.774855938929644,-20.94547088394441,-20.855474650460724,-22.36135108665573,-32.8605331009459,-20.80547790217289,-22.233395434804496,-48.42121092722272,-53.23019634936665,-21.397073412112064,-20.785045811845336,-20.999300925862272,-20.856290414179064,-21.185040166321762,-36.854120644842,-20.84876615099944,-20.828641659508275,-20.775083606236457,-21.889064033167738,-23.266924162643022,-27.123398982263858,-48.63260957047159,-222.2582225352132,-100.50475648374193,-22.277659749707258,-27.62892995596864,-23.062248692432846,-21.98298347327752,-20.872850948362082,-20.840685896190184
-20.881164268016207,-21.054926952275693,-20.963631025772084,-22.465632209882294,-32.94418316175609,-20.911044393700212,-22.339014760209242,-48.61388885281711,-52.47157296402801,-21.497675408549405,-20.8901843283579,-21.100622753644554,-20.957350400495006,-21.282084123320114,-36.74840170455899,-20.947559077031194,-20.934794523264184,-20.882466684021185,-21.987075256765415,-23.336009621307035,-27.1854135701538,-47.91839175073868,-222.3370667808562,-99.53031972018113,-22.357510392667496,-27.72967664686999,-23.15114298036963,-22.076443502526974,-20.977979693536152,-20.948009671932255
-20.23249432445832,-20.42272826373644,-20.30342418777925,-21.909099660537215,-32.90067352238334,-20.258102861289117,-21.80599559558164,-48.290309573710125,-54.034667709573654,-20.887952289377985,-20.253812538111955,-20.476595930419826,-20.342088740418298,-20.71053662850972,-37.411775977698035,-20.364382673022657,-20.30047047148751,-20.23452646283004,-21.441476034116715,-22.924342051852076,-26.893024044012204,-49.21698432806734,-229.2981733643819,-102.94782632955278,-21.88746050110924,-27.470903965865382,-22.67954540821205,-21.53226436420822,-20.331201898227878,-20.28947253306676
-21.39000982296138,-21.552619229787723,-21.477984023109723,-22.94690577241482,-32.96563590241481,-21.420719384687363,-22.804516295442557,-48.91079535416473,-51.074773133770236,-21.9647521905901,-21.395785035234628,-21.589128251109855,-21.444410245444885,-21.73229148969887,-35.77023934505422,-21.423014138905778,-21.43989524655538,-21.393496105410062,-22.42607808819576,-23.724146006969164,-27.465054281067935,-47.22339184950515,-219.06541684539766,-96.35767291129596,-22.722048366576978,-28.046126249827182,-23.564371552335853,-22.47090499820972,-21.484112505213734,-21.46131558126171
-20.27063559225825,-20.436879534942346,-20.32980139521417,-21.990765210436088,-32.14536762527304,-20.29708829576922,-21.87267947400954,-47.32110530500415,-56.00065002509124,-20.884735554739,-20.30160768356131,-20.511504664185527,-20.39150601276677,-20.729976884362337,-35.64117089287131,-20.424658380275382,-20.3459541480084,-20.27271926495248,-21.443763229777453,-23.11811055174024,-27.019232024220255,-53.06433257335754,-226.93189637041942,-102.67788590321459,-21.86597349304019,-27.516186160958974,-22.759955596602346,-21.43917843065775,-20.366726814732374,-20.319642492291756
-20.94403450822344,-21.103107882122288,-21.01520269143989,-22.5945718559792,-32.39642971650181,-20.97187118260199,-22.45257309584781,-47.776715324755756,-53.31333415033372,-21.518885396584466,-20.96592771101442,-21.162597802988703,-21.034601271048064,-21.334931417806327,-35.28621602777876,-21.0457640788229,-21.00898422916841,-20.948255530232444,-22.033629799913733,-23.533765944812835,-27.297042750782218,-50.214389759638564,-220.87038635230397,-98.4819627285082,-22.377662908973985,-27.829465044778622,-23.274109260519165,-22.02701522640674,-21.038441417955035,-21.002522930919877
-21.062552415733226,-21.23865231459028,-21.148727664668893,-22.63268020781935,-33.076076218119425,-21.092271980767755,-22.50674323859842,-48.95193776748671,-51.53877815256873,-21.671260417059038,-21.06834835450733,-21.273254992049072,-21.128089393178467,-21.445140050604003,-36.58505970528769,-21.11100628281732,-21.11401654714943,-21.064649576288463,-22.148333710343863,-23.45207500987688,-27.29268453063893,-47.06602243319918,-222.134420749771,-98.22324300685705,-22.491192137291424,-27.872682023278088,-23.292154571377438,-22.23556968667539,-21.15779134877653,-21.131905538307254
-21.460046354480692,-21.62039925818372,-21.54998271295652,-23.00089342781261,-32.98625229805535,-21.491694492400743,-22.856127021754308,-48.9794159022337,-50.987792382292895,-22.03254674624521,-21.46348195098522,-21.65648261555938,-21.509662206978348,-21.793265279366473,-35.76805342358841,-21.48266838793137,-21.507295430428176,-21.46307135324196,-22.48388752359723,-23.761507228692338,-27.4950975681166,-47.10150077744066,-218.29622645531077,-96.16207460431863,-22.773792294616324,-28.06325226489585,-23.609820268651816,-22.533954102514212,-21.55423645413865,-21.533061531669222
-20.973999406089817,-21.14910164106065,-21.058651161891984,-22.548668720646415,-33.02006845326847,-21.003913870753095,-22.42246081806303,-48.79443235820848,-51.985013073019616,-21.58741096314112,-20.980961673310194,-21.18903888627202,-21.04442782796835,-21.365623984658193,-36.70712218081103,-21.030086783229326,-21.026111287947657,-20.975584870215144,-22.069443218054626,-23.39079013831034,-27.23782251566118,-47.43130155634628,-222.16657703773424,-98.89319349093346,-22.42678339672711,-27.797614260073104,-23.22090982837796,-22.16093572932821,-21.070094029976772,-21.042361509427376
